STATE,C1_HLTH_DEFS_CNT,C1_FS_DEFS_CNT,C2_HLTH_DEFS_CNT,C2_FS_DEFS_CNT,C3_HLTH_DEFS_CNT,C3_FS_DEFS_CNT,aidhrd,vochrd,rnhrd,totlichrd,tothrd,pthrd,FINE_CNT,FINE_TOT,QM401,QM402,QM403,QM404,QM405,QM406,QM407,QM408,QM409,QM410,QM411,QM415,QM419,QM424,QM425,QM426,QM430,QM434,QM451,QM452,QM471,QM521,QM522,QM523,FILEDATE
NATION,7.1,3.4,7.1,3.3,7,3.3,2.47,0.85,0.84,1.69,4.16,0.1,0.3,8347,15.319697,7.778276,5.738997,7.049261,46.768832,2.799542,4.567268,5.386851,0.71647,3.33754,94.498679,93.415849,16.87182,16.424417,1.194429,79.988612,81.504027,2.143111,18.247544,23.516236,63.32151,22.584639,12.077726,56.926462,10/1/2016
AK,9.6,5.2,12.6,4.2,12.2,2.9,4.22,0.74,2.1,2.84,7.06,0.08,0.7,6285,15.281055,26.666639,3.654348,7.578061,40.548518,4.474327,6.496305,9.128383,1.531154,3.31801,96.466061,96.014884,13.543739,30.731952,0.879563,80.193813,77.144609,0.523833,20.828813,21.280971,68.379765,15.551968,10.510852,68.740695,10/1/2016
AL,5,3.8,5,3.6,4.3,4.3,2.62,1.01,0.71,1.71,4.33,0.05,0.2,10375,12.73772,7.261913,5.457476,8.06766,40.886879,2.627539,4.363823,1.454475,0.991783,3.179343,93.146677,92.632604,19.39061,14.722993,0.778616,80.274309,81.795002,2.262124,15.253487,29.815224,54.346436,23.393414,11.55456,60.046915,10/1/2016
AR,6,0.7,6.5,1,6.1,1.1,2.87,0.99,0.56,1.55,4.43,0.06,0.5,14184,15.715442,7.847229,5.682146,6.641151,37.135931,2.83181,4.169392,2.708603,0.676626,4.234433,95.994747,94.779136,16.615623,15.325913,1.24834,77.334699,82.283712,2.411898,15.406879,25.646169,64.065747,26.895587,15.924489,52.659189,10/1/2016
AZ,6.2,3,6.6,3.8,7.8,3.5,2.61,0.95,1.06,2.01,4.62,0.14,0.2,5502,13.308687,9.683134,5.36766,6.736234,56.27029,2.588491,3.952349,2.936893,0.26355,3.075483,95.201237,95.840948,17.06846,18.193683,0.626508,86.7155,88.89193,1.780231,18.055155,22.668116,60.715395,21.903495,11.324444,61.315758,10/1/2016
CA,11.9,4.8,10.9,4.8,11,5.1,2.66,1.05,0.88,1.92,4.58,0.14,0.2,4986,11.004221,4.73684,5.780659,5.703054,44.743281,2.887454,3.376438,1.047158,0.997696,1.720511,94.572748,94.751535,12.880861,11.1213,0.789743,81.628712,82.620777,1.51527,15.136062,20.225116,60.512038,22.364051,10.905581,55.231809,10/1/2016
CO,8.5,5.4,8.7,4.8,8.5,6,2.46,0.69,1.1,1.79,4.25,0.11,0.4,2689,15.415052,9.68875,4.471862,7.225489,49.72143,2.892611,3.779457,4.389569,0.676317,3.634455,93.014059,89.561736,15.138495,19.268181,1.134171,74.699714,75.138277,1.80712,17.838952,17.688281,65.071848,19.413301,13.360958,58.551138,10/1/2016
CT,7.4,1.8,8.2,2,8.3,1.9,2.43,0.77,0.91,1.68,4.11,0.13,0.8,4173,16.180357,5.759051,4.300282,6.845563,45.263206,1.772469,3.329269,2.352281,0.378895,3.369639,94.632265,94.471136,16.660207,15.957889,0.953263,80.402379,80.875173,1.580157,19.207945,21.852618,65.834931,22.446868,12.294527,58.663353,10/1/2016
DC,9.8,3.2,16.2,3.2,15.8,2.5,2.86,0.87,1.28,2.16,5.02,0.16,0.3,31534,12.855196,1.613559,8.515727,6.355176,55.786834,1.071994,5.284793,1.477082,0.191887,1.487818,95.506861,88.670546,13.047817,7.403031,0.704658,73.997037,71.227259,1.319391,12.765792,12.035901,54.718002,17.682786,8.635989,58.071011,10/1/2016
DE,11.2,2.6,11.4,1.2,13.2,1.1,2.51,0.84,1.15,1.98,4.49,0.09,0.2,5854,16.12154,7.062978,4.156342,5.942442,48.6569,1.741365,5.818805,2.420071,0.543218,3.279386,96.825481,95.890238,13.265643,13.919401,0.682276,85.153035,85.291146,1.565787,18.636432,25.315929,69.272499,21.80204,11.116372,60.17011,10/1/2016
FL,6.6,2.6,6.3,2.4,5.7,2.3,2.83,0.96,0.78,1.74,4.57,0.13,0.5,12895,13.66542,5.439595,5.967393,7.300984,52.280971,2.220563,4.633173,1.663423,0.857227,2.824415,92.972533,94.554619,16.813708,13.333469,0.738628,84.729068,87.712598,2.434926,16.927712,27.449932,64.485291,24.019919,10.014152,54.464868,10/1/2016
GA,3.3,4.2,3,3.1,3.9,2.5,2.16,1.08,0.56,1.64,3.8,0.09,0.3,13710,16.021744,8.013314,6.76884,7.433588,46.830838,2.265793,4.726036,6.10017,0.600618,3.361629,94.194668,93.10196,19.806422,15.762316,1.268504,78.842901,80.064895,2.790166,17.731633,26.14836,61.080247,22.075462,13.711562,60.419715,10/1/2016
GU,12,6,12,9,19,0,3.81,2.22,4.19,6.41,10.22,0.32,0,0,,,,15.999999,,8.180448,8,0,0,0,87.5,100,0,19.341563,2.647193,92.307692,99.32886,0.938967,,,,,,,10/1/2016
HI,6.3,0.3,8.3,0.5,7.2,0.4,2.76,0.41,1.39,1.8,4.56,0.08,0.3,3338,10.526562,6.934691,3.744163,7.341473,52.085463,1.868918,3.945302,2.263626,0.652997,2.00995,96.121309,94.57741,7.992611,13.435023,0.457421,83.071394,82.285993,0.979088,19.045879,10.867288,65.937273,17.843481,7.111553,67.040952,10/1/2016
IA,5.7,3.3,5.6,3.7,5.2,3.6,2.44,0.62,0.8,1.42,3.87,0.05,0.3,5554,16.310302,8.369857,3.982665,6.486591,40.387675,3.434362,5.48577,5.353772,0.426156,3.599546,97.030545,95.605325,15.980501,17.277447,1.983478,80.960927,85.40452,1.700438,18.375953,21.531168,75.964261,22.227198,12.785845,58.004006,10/1/2016
